,Service Name,SKU Name,SKU ID,Date Added
3868,SQL Server 2016 Enterprise on Windows Server 2012 R2 (4490-6188-E13C),Licensing Fee for Standard Plan on VM with 6 to 7 VCPU,40BA-1E26-004D,"July 31, 2020"
3869,SQL Server 2016 Enterprise on Windows Server 2012 R2 (4490-6188-E13C),Licensing Fee for Standard Plan on VM with 8 to 9 VCPU,8E3C-AD92-9197,"July 31, 2020"
3870,SQL Server 2016 Enterprise on Windows Server 2016 (7E85-8305-7C0D),Licensing Fee for Standard Plan on VM with 0 to 1 VCPU,C503-067E-C689,"July 31, 2020"
3871,SQL Server 2016 Enterprise on Windows Server 2016 (7E85-8305-7C0D),Licensing Fee for Standard Plan on VM with 10 to 11 VCPU,BD69-B2E3-7D66,"July 31, 2020"
3872,SQL Server 2016 Enterprise on Windows Server 2016 (7E85-8305-7C0D),Licensing Fee for Standard Plan on VM with 12 to 13 VCPU,3F1A-8E01-1164,"July 31, 2020"
3873,SQL Server 2016 Enterprise on Windows Server 2016 (7E85-8305-7C0D),Licensing Fee for Standard Plan on VM with 14 to 15 VCPU,1356-AFBE-7AFD,"July 31, 2020"
3874,SQL Server 2016 Enterprise on Windows Server 2016 (7E85-8305-7C0D),Licensing Fee for Standard Plan on VM with 16 VCPU or more,A9F3-A3A2-5023,"July 31, 2020"
3875,SQL Server 2016 Enterprise on Windows Server 2016 (7E85-8305-7C0D),Licensing Fee for Standard Plan on VM with 2 to 3 VCPU,44EF-FECB-A241,"July 31, 2020"
3876,SQL Server 2016 Enterprise on Windows Server 2016 (7E85-8305-7C0D),Licensing Fee for Standard Plan on VM with 4 to 5 VCPU,B41E-4DC8-A88A,"July 31, 2020"
3877,SQL Server 2016 Enterprise on Windows Server 2016 (7E85-8305-7C0D),Licensing Fee for Standard Plan on VM with 6 to 7 VCPU,3E11-E693-9E0B,"July 31, 2020"
3878,SQL Server 2016 Enterprise on Windows Server 2016 (7E85-8305-7C0D),Licensing Fee for Standard Plan on VM with 8 to 9 VCPU,870E-C353-09C1,"July 31, 2020"
3879,SQL Server 2016 Express on Hardened Windows Server 2016 (1175-58AD-DF6F),Licensing Fee for Standard Plan on VM with 0 to 1 VCPU,56A7-078D-5AC4,"July 31, 2020"
3880,SQL Server 2016 Express on Hardened Windows Server 2016 (1175-58AD-DF6F),Licensing Fee for Standard Plan on VM with 12 VCPU or more,5D76-BCEA-A125,"July 31, 2020"
3881,SQL Server 2016 Express on Hardened Windows Server 2016 (1175-58AD-DF6F),Licensing Fee for Standard Plan on VM with 2 to 3 VCPU,61E8-2781-0488,"July 31, 2020"
3882,SQL Server 2016 Express on Hardened Windows Server 2016 (1175-58AD-DF6F),Licensing Fee for Standard Plan on VM with 4 to 7 VCPU,4B61-8312-3CAD,"July 31, 2020"
3883,SQL Server 2016 Express on Hardened Windows Server 2016 (1175-58AD-DF6F),Licensing Fee for Standard Plan on VM with 8 to 11 VCPU,20A1-B475-5F75,"July 31, 2020"
3884,SQL Server 2016 Standard on Windows Server 2012 R2 (10C7-0687-DBD2),Licensing Fee for Standard Plan on VM with 0 to 1 VCPU,DCC1-2155-B012,"July 31, 2020"
3885,SQL Server 2016 Standard on Windows Server 2012 R2 (10C7-0687-DBD2),Licensing Fee for Standard Plan on VM with 10 to 11 VCPU,1436-3407-5DD4,"July 31, 2020"
3886,SQL Server 2016 Standard on Windows Server 2012 R2 (10C7-0687-DBD2),Licensing Fee for Standard Plan on VM with 12 to 13 VCPU,BC9D-AB45-77C9,"July 31, 2020"
3887,SQL Server 2016 Standard on Windows Server 2012 R2 (10C7-0687-DBD2),Licensing Fee for Standard Plan on VM with 14 to 15 VCPU,4E73-4C94-8A22,"July 31, 2020"
